28.04.2026. 23:11:05,1,2,1,2,2
28.04.2026. 23:19:03,0,2,1,3,1
28.04.2026. 23:19:33,1,3,2,2,2
28.04.2026. 23:22:41,0,3,2,1,2
28.04.2026. 23:27:02,1,3,1,2,2
28.04.2026. 23:28:59,3,2,3,3,1
28.04.2026. 23:32:30,0,3,2,3,2
28.04.2026. 23:34:30,0,0,0,0,0
28.04.2026. 23:39:21,2,3,3,2,2
28.04.2026. 23:39:42,3,2,3,3,2
28.04.2026. 23:45:50,0,0,0,0,0
28.04.2026. 23:46:16,0,3,3,3,2
28.04.2026. 23:47:28,0,3,2,3,2
28.04.2026. 23:49:19,2,1,3,2,2
29.04.2026. 00:11:43,3,0,2,2,1
29.04.2026. 00:26:29,1,1,3,1,0
29.04.2026. 00:39:43,3,2,3,2,2
29.04.2026. 11:52:53,2,0,2,1,0
29.04.2026. 17:38:00,2,0,2,2,1
29.04.2026. 23:40:36,2,1,2,2,2
29.04.2026. 23:41:02,2,1,3,2,1
30.04.2026. 20:39:41,2,1,2,3,1
07.05.2026. 02:31:22,2,0,2,1,0
24.05.2026. 01:23:20,2,2,0,2,2
